iter	Passed	Remaining
195	1168	4792
196	1174	4787
197	1180	4781
198	1186	4773
199	1191	4767
200	1197	4761
201	1203	4755
202	1209	4748
203	1215	4743
204	1221	4738
205	1228	4734
206	1234	4729
207	1240	4723
208	1245	4715
209	1252	4710
210	1257	4703
211	1264	4698
212	1269	4692
213	1276	4686
214	1282	4680
215	1288	4675
216	1293	4668
217	1299	4662
218	1305	4655
219	1311	4649
220	1317	4643
221	1323	4636
222	1329	4630
223	1335	4625
224	1341	4620
225	1347	4613
226	1352	4607
227	1359	4602
228	1365	4596
229	1370	4589
230	1376	4583
231	1382	4576
232	1388	4570
233	1394	4564
234	1400	4557
235	1405	4551
236	1411	4545
237	1418	4541
238	1424	4535
239	1430	4528
240	1435	4520
241	1441	4515
242	1447	4509
243	1453	4504
244	1459	4498
245	1465	4492
246	1471	4485
247	1477	4480
248	1483	4475
249	1489	4469
250	1495	4463
251	1501	4457
252	1508	4453
253	1514	4447
254	1520	4442
255	1527	4439
256	1533	4432
257	1538	4425
258	1545	4420
259	1550	4413
260	1557	4408
261	1562	4401
262	1568	4394
263	1574	4389
264	1580	4382
265	1586	4377
266	1593	4373
267	1598	4367
268	1604	4361
269	1610	4354
270	1616	4348
271	1621	4340
272	1627	4334
273	1633	4328
274	1639	4321
275	1645	4315
276	1651	4309
277	1656	4302
278	1662	4296
279	1668	4289
280	1674	4283
281	1679	4276
282	1685	4270
283	1691	4263
284	1696	4257
285	1702	4249
286	1708	4243
287	1713	4237
288	1719	4230
289	1725	4223
290	1730	4216
291	1736	4210
292	1742	4204
293	1749	4200
294	1754	4193
295	1760	4186
296	1765	4179
297	1771	4172
298	1777	4166
299	1782	4159
300	1788	4153
301	1793	4146
302	1799	4139
303	1805	4134
304	1811	4127
305	1817	4122
306	1823	4115
307	1828	4108
308	1834	4102
309	1840	4096
310	1846	4091
311	1852	4084
312	1857	4077
313	1863	4071
314	1869	4065
315	1875	4059
316	1881	4052
317	1886	4046
318	1892	4040
319	1898	4033
320	1903	4027
321	1909	4020
322	1915	4014
323	1920	4007
324	1926	4001
325	1931	3994
326	1937	3988
327	1943	3981
328	1949	3975
329	1955	3970
330	1961	3965
331	1967	3958
332	1973	3952
333	1979	3946
334	1984	3939
335	1990	3933
336	1995	3926
337	2001	3920
338	2007	3914
339	2013	3908
340	2019	3902
341	2024	3895
342	2030	3888
343	2035	3882
344	2041	3875
345	2047	3869
346	2053	3863
347	2059	3858
348	2065	3851
349	2070	3844
350	2077	3841
351	2083	3835
352	2089	3829
353	2095	3824
354	2101	3818
355	2107	3812
356	2113	3806
357	2119	3801
358	2125	3795
359	2132	3790
360	2137	3783
361	2143	3777
362	2149	3772
363	2155	3766
364	2161	3760
365	2167	3754
366	2173	3748
367	2178	3741
368	2185	3736
369	2191	3730
370	2196	3724
371	2202	3717
372	2207	3710
373	2213	3704
374	2219	3698
375	2226	3694
376	2232	3689
377	2237	3682
378	2243	3675
379	2249	3670
380	2255	3664
381	2261	3658
382	2266	3651
383	2272	3644
384	2277	3638
385	2283	3632
386	2289	3626
387	2294	3619
388	2301	3614
389	2307	3608
390	2313	3602
391	2319	3596
392	2325	3591
393	2330	3584
394	2336	3578
395	2342	3573
396	2348	3566
397	2353	3560
398	2359	3554
399	2365	3548
400	2370	3541
401	2375	3534
402	2381	3528
403	2387	3522
404	2392	3515
405	2398	3508
406	2403	3502
407	2409	3496
408	2415	3489
409	2420	3483
410	2426	3477
411	2431	3470
412	2437	3463
413	2442	3457
414	2448	3451
415	2454	3445
416	2459	3438
417	2465	3432
418	2471	3426
