iter	Passed	Remaining
569	3258	2458
570	3264	2452
571	3269	2446
572	3275	2440
573	3280	2434
574	3285	2428
575	3290	2422
576	3295	2416
577	3302	2411
578	3309	2406
579	3314	2400
580	3319	2394
581	3326	2388
582	3331	2382
583	3336	2376
584	3342	2371
585	3348	2365
586	3356	2361
587	3362	2356
588	3368	2350
589	3374	2344
590	3379	2338
591	3385	2333
592	3391	2327
593	3396	2321
594	3402	2316
595	3407	2309
596	3412	2303
597	3418	2298
598	3423	2292
599	3429	2286
600	3434	2280
601	3439	2273
602	3444	2267
603	3449	2261
604	3455	2256
605	3460	2250
606	3465	2244
607	3471	2238
608	3476	2232
609	3482	2226
610	3487	2220
611	3492	2214
612	3497	2208
613	3503	2202
614	3508	2196
615	3513	2190
616	3519	2184
617	3525	2179
618	3531	2173
619	3537	2168
620	3544	2162
621	3549	2157
622	3556	2152
623	3562	2146
624	3567	2140
625	3572	2134
626	3578	2128
627	3583	2122
628	3587	2116
629	3593	2110
630	3598	2104
631	3603	2098
632	3608	2092
633	3614	2086
634	3619	2080
635	3624	2074
636	3629	2068
637	3634	2061
638	3639	2055
639	3644	2050
640	3649	2044
641	3654	2038
642	3660	2032
643	3665	2026
644	3670	2020
645	3675	2014
646	3680	2008
647	3685	2002
648	3691	1996
649	3696	1990
650	3701	1984
651	3707	1978
652	3712	1972
653	3718	1967
654	3723	1961
655	3728	1955
656	3734	1949
657	3740	1944
658	3746	1938
659	3752	1933
660	3758	1927
661	3766	1923
662	3773	1917
663	3779	1912
664	3785	1907
665	3792	1901
666	3797	1896
667	3804	1890
668	3809	1884
669	3814	1878
670	3819	1872
671	3825	1867
672	3831	1861
673	3837	1856
674	3842	1850
675	3847	1844
676	3853	1838
677	3858	1832
678	3863	1826
679	3869	1821
680	3875	1815
681	3881	1809
682	3886	1803
683	3891	1797
684	3897	1792
685	3902	1786
686	3908	1780
687	3913	1774
688	3919	1769
689	3924	1763
690	3929	1757
691	3936	1752
692	3942	1746
693	3948	1740
694	3954	1735
695	3959	1729
696	3966	1724
697	3972	1718
698	3978	1713
699	3984	1707
700	3989	1701
701	3994	1695
702	4000	1689
703	4005	1684
704	4010	1678
705	4015	1672
706	4020	1666
707	4026	1660
708	4031	1654
709	4036	1648
710	4042	1643
711	4047	1637
712	4052	1631
713	4058	1625
714	4063	1619
715	4067	1613
716	4073	1607
717	4078	1602
718	4083	1596
719	4088	1590
720	4094	1584
721	4098	1578
722	4104	1572
723	4109	1566
724	4114	1560
725	4119	1554
726	4124	1548
727	4129	1542
728	4134	1537
729	4141	1531
730	4148	1526
731	4154	1521
732	4161	1515
733	4167	1510
734	4175	1505
735	4181	1499
736	4186	1493
737	4193	1488
738	4198	1482
739	4204	1477
740	4210	1471
741	4215	1465
742	4221	1460
743	4227	1454
744	4233	1448
745	4239	1443
746	4245	1437
747	4250	1432
748	4256	1426
749	4261	1420
750	4267	1414
751	4272	1408
752	4277	1403
753	4283	1397
754	4288	1391
755	4293	1385
756	4298	1379
757	4303	1374
758	4309	1368
759	4314	1362
760	4320	1356
761	4325	1351
762	4332	1345
763	4339	1340
764	4344	1334
765	4350	1328
766	4357	1323
767	4363	1318
768	4368	1312
769	4373	1306
770	4379	1300
771	4384	1294
772	4389	1289
773	4394	1283
774	4400	1277
775	4406	1271
776	4412	1266
777	4417	1260
778	4422	1254
779	4427	1248
780	4432	1242
781	4437	1236
782	4442	1231
783	4448	1225
784	4453	1219
785	4458	1213
786	4463	1208
787	4469	1202
788	4474	1196
789	4480	1190
790	4484	1184
791	4490	1179
792	4495	1173
793	4500	1167
794	4505	1161
795	4511	1156
796	4516	1150
797	4521	1144
798	4526	1138
799	4531	1132
800	4537	1127
801	4545	1122
802	4551	1116
803	4557	1111
804	4564	1105
805	4569	1099
806	4577	1094
807	4583	1089
808	4589	1083
809	4596	1078
810	4601	1072
811	4608	1067
812	4613	1061
813	4619	1055
814	4624	1049
815	4630	1044
816	4635	1038
817	4642	1032
818	4647	1027
819	4653	1021
